Базовый				
Услуга				Цена
Биоревитализация:MesoEye C71 (США				1950000,00
Биоревитализация: Revi Eye (Россия)				1820000,00
Биоревитализация:Revi Silk (Россия)				2200000,00
Биоревитализация:Revi Strong (Россия)				2730000,00
Биоревитализация:Плазмотерапия				400000,00
Мезотерапия: DQ HAIR				600000,00
Мезотерапия: ASCORBIX 20				600000,00
Мезотерапия: SUPREALL				600000,00
Мезотерапия: EGF GENESIS				700000,00
Мезотерапия: REJUVEYES				750000,00
Мезотерапия: NEFERTITI LIFT				750000,00
Мезотерапия: GSH+C1000				750000,00
Мезотерапия: DA HA 35				850000,00
Мезотерапия: Инъекции для похудения DERMAQUAL SUPREALL (франция)				600000,00
Механическая чистка лица				500000,00
DMAE				500000,00
ASCE Derma Signal Kit SRLV-E				2600000,00
Juvederm Volite				2000000,00
Коллаген Innoaesthetics				500000,00
Релатокс токсин 1 ед				55000,00
Linerase collagen				2600000,00
AKN ID				500000,00
Redness ID				510000,00
MCA				600000,00
XeroSkin				460000,00
ABG LAB Meso-Wharton-F199				1950000,00
TIGF				550000,00
Ботулатоксин Релатокс				55000,00
Липолитик Face nude				500000,00
RESTRUCTURER от пигментации				600000,00
гиппергидроз+релатокс				1800000,00
Гипергидроз ботулакс				1300000,00
Консультации 				
Консилиум (специалисты клиники)				500000,00
Онкологичнеский консилиум (tumor board)				2000000,00
Определение статуса эпидермального барьера				100000,00
Оформление и подготовка выписок из документов на иностранном языке				300000,00
Оформление и подготовка выписок из документов на русском языке				50000,00
Первичная консультация и осмотр кандидата медицинских наук				300000,00
Первичная консультация профессора, доктора медицинских наук				1000000,00
Прием (осмотр, консультация) индивидуально приглашенного специалиста (профессора, доктора медицинских наук, ведущего специалиста и др.)				1000000,00
Первичный осмотр врача дерматовениролога				150000,00
Первичный осмотр врача дерматокосметолога				150000,00
Первичный осморт врача трихолога				150000,00
Первичный осморт врача дерматоонколога				150000,00
Повторная консультация к врачу дерматовенеролога				100000,00
Первичная консультация подолога				150000,00
Повторный осмотр врача трихолога				100000,00
Повторный осморт врача дерматоонколога				100000,00
Повторный осмотр подолога				100000,00
Повторный осморт врача дерматокосметолога				100000,00
Криохирургия 				
Внутренне очаговая криодеструкция рубца				50000,00
Вторая степень сложности (от трех до семи элементов)				30000,00
Иммунокриохирургия				500000,00
Криодеструкция доброкачественных глубоких новообразований кожи				20000,00
Криодеструкция доброкачественных поверхностных новообразований кожи				30000,00
Криодеструкция рубца аэрозольным методом				30000,00
Криодеструкция рубца контактным методом				30000,00
Криохирургия немеланомных злокачественных опухолей кожи (Базальноклеточный карцинома, плоскоклеточная карцинома)				200000,00
Криохирургия предраковых состояний кожи (лейкоплакия, актинический кератоз, актинический хейлит, болезнь Боуэна)				100000,00
Первая степень сложности (один-два элемента)				20000,00
Третья степень сложности (от восьми до пятнадцати элементов)				40000,00
Ла рош 				
ЛРП толеран розалиак ар сыворотка корректирующая 40мл				450000,00
ЛРП толеран очищающий крем-гель 200мл				250000,00
ЛРП толеран пенка мицелярная очищающая 150мл				275000,00
ЛРП Эфаклар сыворотка 30мл				630000,00
