Базовый				
Услуга				Цена
НИПТ Panorama ( Natera , США), « Базовая панель 22 q»				5504000,00
НИПТ Panorama ( Natera , США), « Расширенная панель »				7935000,00
НИПТ Синдром Дауна, Эдварса, Патау «Базовая панель»				4034000,00
НИПТ Синдром Дауна, Эдварса, Патау, Шепешевского –Тернера, Клайнфельтера « Стандартная панель»				5014000,00
Кардио генетика Тромбофилия				495000,00
Такролимус				300000,00
TORCH Ig M ИХЛА (токсоплазма,ЦМВ, хламадия, микоплазма, уреоплазма, рубелла., герпес I, ll тип)				481000,00
TORCH Ig G ИХЛА (токсоплазма,ЦМВ, хламадия, микоплазма, уреоплазма, рубелла., герпес I, ll тип)				481000,00
TORCH ПЦР				737000,00
Гистологическое иследование				250000,00
СА-242 раковый антиген для диагностики рака поджелудочной железы толстог7о кишечника прямой кишки				259000,00
СА-50 маркер гастроинестинальных новообразования в первую очередь желудочной железы				250000,00
HER-2 рецептр один из наиболее значимых молекулярных маркеров при раке молочной зелёз				431000,00
PRO-GRP Прогастрин высвобождающий белок высокочувствительных маркер мелкоклеточного рака лёгких				328000,00
Кальцитонинг (медулярный рак щитовидной железы)				201000,00
Вирус герпеса человека 6 тип, 8 тип качество по				195000,00
Вирус герпеса человека 6 тип, 8 тип количество по				345000,00
ВПЧ 16 (Papilomavirus 16)				135000,00
ВПЧ 18 (Papilomavirus 18)				135000,00
ВПЧ 6,11				195000,00
ВПЧ 16,31,33,35,52,6,11,18,39,45,59,58,51,56,68 ( HPV квант -15				399000,00
ВПЧ 31,35,16,53,33,68,45,82,51,6,44,11,18,39,58,66,26,53,59,56,73 (HPV квант-21)				552000,00
Комплекс: (Cand.albicans,Cand.glabrata,Cand.krusei) (мазок, моча, ротоглотка)				435000,00
Скрин Микоз РТ-ПЦР( выявление и типированиевозбудителей грибковых инфекций)				495000,00
12-ОРЗ-панель РТ-ПЦР (острые респираторные заболевания)				495000,00
АБ-ГенРезиста РТ-ПЦР (выявление генов резистентности к антибиотикам)				495000,00
Фемофлор 16				690000,00
Фемофлор скрин				470000,00
Андрофлор				689000,00
Хламидия				155000,00
Концентрация гемоглобина				42000,00
Скорость оседания эритроцитов				30000,00
Гистологическое исследования соскоба матки				302000,00
ПАП тест				90000,00
Ренин				253000,00
Лазер pinpoint 				
Лазерное лечение бородавок с помощью аппарата PinPoint laser за 1 кв.см (2 сеанс)				80000,00
Лазерное лечение бородавок с помощью аппарата PinPoint laser за 3 кв.см (3 сеанс)				70000,00
Лазерная абляционная шлифовка кожи (глубокая) 				
Веки (верхние и нижние)				1300000,00
Верхняя губа				500000,00
Кисти рук				1400000,00
Лазерное лечение бородавок с помощью аппарата PinPoint laser за 1 кв.см (1 сеанс)				100000,00
Лицо				3000000,00
Лицо включая область века				3500000,00
Лоб				700000,00
Нос				500000,00
Рубец (10-20см)				1800000,00
Рубец (1см)				250000,00
Рубец (2см)				400000,00
Рубец (3-4см)				500000,00
Рубец (5-10см)				900000,00
Стрии (10-10 см)				900000,00
Стрии (10-20 см)				1800000,00
Тело (10х10)				900000,00
Тело (20х20)				1500000,00
Щеки				2500000,00
Рубец				700000,00
Лазерная абляционная шлифовка кожи (поверхностная) 				
Веки (верхние/нижние)				700000,00
Верхняя губа				400000,00
Декольте				1000000,00
Кисти рук				1000000,00
Лицо, включая область века				2500000,00
Лоб				500000,00
Нос				350000,00
Шея				1000000,00
Щеки				2100000,00
Щека				1250000,00
Лазерная абляционная шлифовка кожи (средняя) 				
Веки (верхние/нижние)				990000,00
Верхняя губа				500000,00
Декольте				1200000,00
Кисти рук				1200000,00
Лицо				2500000,00
Лицо, включая область века				2900000,00
Лоб				500000,00
Нос				400000,00
Шея				1200000,00
Щеки				2300000,00
Лицо				2000000,00
Лазерная эпиляция				
Ареолы молочных желез				200000,00
Белая линия живота				200000,00
Женская спина				400000,00
Женские ноги от стопы до бедер (75%)				550000,00
Женские ноги от стопы до колена (50%)				300000,00
Женские руки выше локтя				300000,00
Женские руки от кисти до локтя (50%, 2 зоны)				200000,00
Женские руки полностью				400000,00
Женские ягодицы				400000,00
Женский живот				300000,00
Женское декольте				200000,00
Женское классическое бикини				300000,00
Кисти рук и пальцы				100000,00
Подмышечные впадины				300000,00
Тыл стоп + пальцы				200000,00
Женские ноги полностью				550000,00
Лицо полностью				300000,00
верхняя губа				90000,00
Бакенбарды				100000,00
Лоб				100000,00
задняя часть шеи				200000,00
шея полностью				250000,00
щеки				100000,00
межбровье				50000,00
мочки ушей				50000,00
Лазерное удаление доброкачественных новообразований НА DEKA SMARXIDE PUNTO СО2 ЛАЗЕРЕ 				
Лазерное удаление 10 новообразований				1000000,00
Лазерное удаление ксантелазм (за 1 элемент)				300000,00
Лазерное удаление образования до 0,5 см в диаметре (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы, папилломы, контагиозный моллюск, милиумы, плоские бородавки) с анестезией (за 1 элемент)				130000,00
Лазерное удаление образования до 0,5 см в диаметре (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы, папилломы, контагиозный моллюск, милиумы, плоские бородавки) с анестезией более 10 элементов (за 1 элемент)				100000,00
Лазерное удаление образования от 0,5 см в диаметре (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы, папилломы, контагиозный моллюск, милиумы, плоские бородавки) с анестезией (за 1 элемент)				150000,00
Лазерное удаление образования от 0,5 см в диаметре (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы, папилломы, контагиозный моллюск, милиумы, плоские бородавки) с анестезией более 10 элементов (за 1 элемент)				130000,00
Удаление образований в интимной зоне (до 5мм)				300000,00
Удаление образований в интимной зоне (от 5мм)				400000,00
Удаление образований в области верних и нижних век (от 1до 3мм)				200000,00
Удаление образований в области верхних и нижних век (от 5 мм)				250000,00
Удаление подошвенных бородавок (до 5мм)				350000,00
Удаление подошвенных бородавок (от 5мм)				450000,00
Родинка (до 5мм)				250000,00
Родинка (от 5мм до 10 мм)				350000,00
Родинка (от 10 мм)				450000,00
Подногтевые бородавки (до 5мм)				200000,00
Подногтевые бородавки (от 5 мм до 10 мм)				300000,00
Подногтевые бородавки (от 10 мм до 15 мм)				400000,00
Удаление кератомы от 5мм до 10мм				240000,00
Удаление кератомы от 10 мм до 20 мм				330000,00
Лазерное удаление ксантелазмы				250000,00
ЛРП Антигелиос(СПФ) 				
ЛРП Антигелиос UVMUNE 400 флюид СПФ50 +50мл				430000,00
ЛРП Антигелиос UVMUNE 400 увлажняющий крем СПФ50+ 50мл				430000,00
ЛРП Антигелиос UVMUNE 400 матирующий гель крем СПФ50 +50мл				430000,00
ЛРП Антигелиос UVMUNE 400 антивозрастной крем СПФ50 +50мл				530000,00
Увлажняющий спрей вуаль виши спф 50				430000,00
Легкий срей флюид виши спф 50				430000,00
ЛРП спрей для лица и тела спф50 200мл				445000,00
Увлажняющее молочко для тела и лица спф50 250мл				480000,00
ЛРП дермопедиатрикс 400 для лица и тела 250мл				500000,00
Дермопедиатрикс ветскин для детей спф50 200мл				500000,00
лрп увлажняющий молочко для лица итела 150мл				550000,00
ЛРП флюид против пигментации спф +50 50мл				440000,00
ЛРП тонирующий флюид спф +50				445000,00
ЛРП цикопласт, липикар 				
ЛРП цикопласт бальзам В5+15мл				125000,00
ЛРП цикопласт бальзам В5+40мл				205000,00
ЛРП цикопласт бальзам В5+100мл				325000,00
ЛРП цикопласт бальзам В5+спф50 40мл				285000,00
ЛРП цикопласт очищающий гельВ5 200мл				260000,00
ЛПР липикар ап+масло для купания 750мл				480000,00
ЛПР липикар ап+масло для купания 400мл				370000,00
ЛРП Липикар АП+М бальзам для тела 75мл				140000,00
ЛРП Липикар АП+М бальзам для тела 200мл				365000,00
ЛРП Липикар АП+М бальзам для тела 400мл				485000,00
ЛРП Липикар синдет АП+ очищающий крем-гель 200мл				230000,00
ЛРП Липикар синдет АП+ очищающий крем-гель 400мл				335000,00
ЛРП Липикар молочко для тела 400мл				300000,00
ЛРП Липикар молочко для тела с10% мочевиной 400мл				545000,00
Липикар уреа 30%				270000,00
ЛРП цикопласт бальзам для губ				165000,00
М серия 				
Руки				50000,00
Ноги				50000,00
Руки+Ноги				90000,00
НЕО люкс 				
Нео люкс				70000,00
Паспорт кожи 				
Дерматоскопия тела + база данных				2000000,00
Пигментация 				
трихопигментация (голова) 50%				1200000,00
трихопигментация (голова)100%				2400000,00
пигментация кожи 10 см кв				600000,00
Подология 				
Аппаратная чистка стопы				250000,00
обработка мозоли без стерженя				60000,00
обработка мозоли со стерженем				100000,00
стрижка ногтей( за ед)				20000,00
удаление вросшего ногтя				250000,00
иньекция кеналог				150000,00
тейп				10000,00
титановый нить				400000,00
аппаратная чистка ногтей				230000,00
Провизор				
Расходные материалы				0,00
Режуран				
режуран С от рубцов				2300000,00
режуран				3200000,00
режуран глаза				2600000,00
РФ Морфеус 8 				
омоложение кожи лица (без глаз)				3167000,00
Омоложение зоны вокруг глаз				2907000,00
Омоложение лица и шеи				3415000,00
Омоложение лица и зоны вокруг глаз				5257000,00
Омоложение кожи лица, шеи и декольте				4552000,00
Омоложение лица,шеи,зоны декольте,вокруг глаз				5541000,00
омоложение зоны тела до 400см2				3986000,00
омоложение зоны тела 800				6590000,00
Стационар 				
1 койка в стационаре класса VIP без включения лекарственных препаратов и питание				250000,00
1 койка в стационаре класса VIP с лекарственными препаратами и питанием				500000,00
Питание				50000,00
Трансплантация меланоцитов 				
Пересадка меланоцитов 1 до 10 см2				5000000,00
Пересадка меланоцитов 10 до 20 см2				10000000,00
Пересадка меланоцитов 30 до 40 см2				20000000,00
Пересадка меланоцитов 1см				4000000,00
Трихология 				
Check-up лист для женщин (24 тип)				500000,00
Check-up лист для мужчин (24 тип)				500000,00
PRP терапия				400000,00
PRP терапия с биотином				500000,00
Кеналогок блокада(Волосы)				300000,00
Инъекции для профилактики выпадения волос				400000,00
Дерма Хел-PRP				400000,00
Мезотерапия				1000000,00
Первичная консультация и осмотр врача кандидата медицинских наук				250000,00
Первичная консультация и осмотр врача трихолога				150000
Первичная консультация и осмотр профессора с применением искусственного интеллекта				1000000,00
Пересадка по методу FUE (1-графт)				5000,00
Трихограмма с применением искусственного интеллекта				300000,00
Трихоспопия				150000,00
Трансплантация волос				11000000,00
PRP терапия 0.5				250000,00
Hair Vital (испания) жен				480000,00
Hair Loss Control муж				480000,00
PRP 0/75				300000,00
Prp c ледокаином				100000,00
Физиотерапия				
Хилайт(лицо)				130000,00
ВЛОК аппарат (внутривенное лазерное облучение)				45000,00
Дарсонваль				35000,00
Кварц УФО				20000,00
Криомассаж ограниченный				15000,00
Криомассаж распространенный				35000,00
Плазмафорез				1300000,00
Хилайт(Волосы)				110000,00
Фотолечение acne forever clear 				
Зона 10 см*10 см				1100000,00
Фотоомоложение forever young 				
Декольте				3500000,00
Кисти рук				2100000,00
Лицо				3500000,00
Лицо + Шея				5500000,00
Лицо + Шея + Декольте				6500000,00
Предплечья				2500000,00
Шея				3100000,00
Фотоомоложение IPL (Lumecca) 				
Лицо-Шея/ декольте				1200000,00
лицо+шея+декольте				1900000,00
кисти рук				1100000,00
лицо				900000,00
Нос				200000,00
щека				300000,00
декольте				600000,00
шея				400000,00
одна зона размером с ладонь				400000,00
подмышки				600000,00
Фотоомоложение ББЛ (BBL омоложение) 				
Кисти рук				1500000,00
Лицо + Шея IPL				1200000,00
Лицо + Шея +Декольте				4000000,00
Лицо полностью IPL				900000,00
Одна вспышка				100000,00
Предплечья				2000000,00
Спина полностью				3000000,00
Шея				1300000,00
Щеки				1500000,00
Фотоомоложение. Лечение сосудистых патологий. Розацеа 				
Фотоомоложение кожи/Лоб				700000,00
Фотоомоложение кожи/Щеки				1100000,00
Фотоомоложение кожи/Нос				700000,00
Фотоомоложение кожи/Подбородок				700000,00
Фотоомоложение кожи/Лицо				1900000,00
Фотоомоложение кожи 1 категория/ 1зона				1700000,00
Фототерапия 				
Exсimer 1 вспышка				30000,00
Exсimer 2 вспышки				30000,00
Exсimer 3 вспышки				30000,00
Exсimer 5 вспышек				30000,00
Needle (Вторая степень сложности)				150000,00
Needle (Первая степень сложности)				100000,00
Needle (Третья степень сложности)				250000,00
UVB (280 нм -320 нм)				50000,00
Повторная консультация и осмотр				100000,00
UVB (280нм-320нм) за 8 процедур				400000,00
фототерапия UVB (280-320 нм) за 6 процедур				300000,00
Хирургическая дематология 				
Shave (Шейв) - удаление новообразований кожи				150000,00
Инцизионная биопсия				200000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" (базовый пакет с привлечением пластического хирурга)				9000000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" (базовый пакет)				5000000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" в периорбитальной области (реконструктивный этап выполняется офтальмохирургом, д.м.н.)				10000000,00
Панч - биопсия				300000,00
Радиоволновая хирургия 1 образования (доброкачественные внутридермальные новообразования кожи - родинки/невусы) с анестезией				65000,00
Радиоволновая хирургия 1 образования (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы) с анестезией				50000,00
Радиоволновая хирургия 1 образования в сложных анатомических зонах (веки, паховая область, слизистые) с анестезией				80000,00
Радиоволновое удаление контагиозного моллюска (за 1 элемент): до 10 образований				70000,00
Радиоволновое удаление контагиозного моллюска (за 1 элемент): от 10 образований				60000,00
Радиоволновое удаление ксантелазм на веках (1 веко)				130000,00
Радиоволновое удаление мягкой фибромы (за 1 элемент)				90000,00
Радиоволновое удаление остроконечной кондиломы (за 1 элемент)				90000,00
Радиоволновое удаление папилломы (неосложненной)				50000,00
Радиоволновое удаление папилломы (осложненной)				70000,00
Радиоволновое удаление пиогенной гранулемы (ботриомикомы)				150000,00
размеров и новообразований кожи, которые расположены в анатомически сложных участках ІІІ уровня сложности				2300000,00
Фотодинамическая терапия (без стоимости фотосенсибилизатора) за сеанс				500000,00
Хирургическое удаление доброкачественных новообразований кожи больших размеров и новообразований кожи, которые расположены в анатомически сложных участках І уровня сложности				2000000,00
Хирургическое удаление доброкачественных новообразований кожи больших размеров и новообразований кожи, которые расположены в анатомически сложных участках ІІ уровня сложности				2200000,00
Хирургическое удаление злокачественных новообразований кожи І уровня сложности				2000000,00
Хирургическое удаление злокачественных новообразований кожи ІIІ уровня сложности				2300000,00
Хирургическое удаление злокачественных новообразований кожи ІІ уровня сложности				2200000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) І уровень сложности				1000000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) ІІ уровень сложности				1300000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) ІІІ уровень сложности				1500000,00
Эксцизионная биопсия (более 0,5 см в области лица, половых органов, волосистой части головы, труднодостпных анатомических областях)				400000,00
Хирургический удаление новооброзование				600000,00
Радиоволновое удаление контагиозного моллюска за 8 образований				560000,00
Хирургический удаление атеромы				500000,00
Хирургические удаление атеромо				400000,00
Хирургический удаление рубца				600000,00
Удаление атеромы				700000,00
Удаление атеромы				300000,00
Хирургическая дерматология				
Shave (Шейв) - удаление новообразований кожи				150000,00
Инцизионная биопсия				200000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" (базовый пакет с привлечением пластического хирурга)				9000000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" (базовый пакет)				5000000,00
Микрографическое хирургическое удаление злокачественных новообразований кожи по методу "Mohs" в периорбитальной области (реконструктивный этап выполняется офтальмохирургом, д.м.н.)				10000000,00
Панч - биопсия				300000,00
Радиоволновая хирургия 1 образования (доброкачественные внутридермальные новообразования кожи - родинки/невусы) с анестезией				65000,00
Радиоволновая хирургия 1 образования (доброкачественные эпидермальные новообразования кожи - кератомы, родинки/невусы) с анестезией				50000,00
Радиоволновая хирургия 1 образования в сложных анатомических зонах (веки, паховая область, слизистые) с анестезией				80000,00
Радиоволновое удаление контагиозного моллюска (за 1 элемент): до 10 образований				70000,00
Радиоволновое удаление контагиозного моллюска (за 1 элемент): от 10 образований				60000,00
Радиоволновое удаление ксантелазм на веках (1 веко)				130000,00
Радиоволновое удаление мягкой фибромы (за 1 элемент)				90000,00
Радиоволновое удаление остроконечной кондиломы (за 1 элемент)				90000,00
Радиоволновое удаление папилломы (неосложненной)				50000,00
Радиоволновое удаление папилломы (осложненной)				70000,00
Радиоволновое удаление пиогенной гранулемы (ботриомикомы)				150000,00
размеров и новообразований кожи, которые расположены в анатомически сложных участках ІІІ уровня сложности				2300000,00
Фотодинамическая терапия (без стоимости фотосенсибилизатора) за сеанс				500000,00
Хирургическое удаление доброкачественных новообразований кожи больших размеров и новообразований кожи, которые расположены в анатомически сложных участках І уровня сложности				2000000,00
Хирургическое удаление доброкачественных новообразований кожи больших размеров и новообразований кожи, которые расположены в анатомически сложных участках ІІ уровня сложности				2200000,00
Хирургическое удаление злокачественных новообразований кожи І уровня сложности				2000000,00
Хирургическое удаление злокачественных новообразований кожи ІIІ уровня сложности				2300000,00
Хирургическое удаление злокачественных новообразований кожи ІІ уровня сложности				2200000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) І уровень сложности				1000000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) ІІ уровень сложности				1300000,00
Хирургическое удаление новообразований кожи (классическое эллиптическое иссечение) ІІІ уровень сложности				1500000,00
Эксцизионная биопсия (более 0,5 см в области лица, половых органов, волосистой части головы, труднодостпных анатомических областях)				400000,00
Хирургический удаление новооброзование				600000,00
Радиоволновое удаление контагиозного моллюска за 8 образований				560000,00
Хирургический удаление атеромы				500000,00
Хирургические удаление атеромо				400000,00
Хирургический удаление рубца				600000,00
Удаление атеромы				700000,00
Цераве 				
очищающий гель для норм и жирной кожи 236мл				180000,00
крем пенка для очищения 236мл				220000,00
увлажняющий крем для очень сухой кожи 340мл				315000,00
увлажняющий лосьон для очень сухой кожи 236мл				245000,00
очищающий гель против несовершенств 236мл				230000,00
Цераве гель против несовершенств с ана и вна кислотами				270000,00
очищающий крем-гель для нормальной и сухой кожи 236мл				190000,00
Цифровая дематология (ДЕРМАТОСКОПИЯ) 				
Цифровая дерматоскопия на аппарате FotoFinder с консультацией врача до 5 элиментов				150000,00
Цифровая дерматоскопия на аппарате FotoFinder с консультацией врача от 5 элиментов				200000,00
Цифровая дерматоскопия на аппарате FotoFinder с консультацией профессора				1000000,00
Эксимер 				
Эксимер от 1до 5 точек				100000,00
Эксимер от 5 до 10 точек				150000,00
Эксимер от 10				200000,00
Эндосфера 				
Эндосфера 75 мин				850000,00
Эстетическая косметология 				
Уход за кожей лица: Интенсивное увлажнение (Innoaestetic)				600000,00
Уход за кожей лица: Уход для чувствительной кожи (Innoaestetic)				600000,00
Уход за кожей лица: Очищающий уход (Innoaestetic)				700000,00
Уход за кожей лица: Омолаживающий уход (Innoaestetic)				700000,00
Чистка лица: Механическая чистка лица на косметике Innoaestetic				500000,00
Чистка лица: Ультразвуковая чистка лица на косметике Innoaestetic				500000,00
Чистка лица: Пилинги PRX-T33				600000,00
Чистка на аппарате aquapire				800000,00
Пилинг MCA-35 Innoaesthetics				600000,00
Пилинг T.C. Age Innoaesthetics				600000,00
Me Line пилинг против пигментации				700000,00
